3.75,9.583
3.76,9.091
3.77,8.949
3.78,9.291
3.79,8.515
3.80,8.865
3.81,8.468
3.82,8.585
3.83,8.962
3.84,8.512
3.85,8.734
3.86,8.227
3.87,7.431
3.88,6.710
3.89,7.065
3.90,7.799
3.91,7.371
3.92,6.948
3.93,7.105
3.94,7.453
3.95,7.650
3.96,7.778
3.97,7.684
3.98,7.461
3.99,7.355
4.00,0.000
